;class;question
223;ORG;Hello, I have a question: you study 1 course for free, but realized that the profession is not mine, I want to transfer to another University in a completely different specialty. The desire to learn here, don't know if I can pass the winter session. If I get expelled, can I transfer to another University for free training, passing the required subjects exam?
224;ORG;Hello! I went in 2013 to the Institute, but ubedilas that chose the wrong profession if you can pass again the exam and what do I need?
225;ENTER;Hello, was deducted on their own after the winter session of second year in 2013, is it possible to recover on the second course now?
226;ENTER;Hello, went to University for the exam for a fee, but after six months of study I realized that the profession was not good for me. was deducted and decided to wait to do it again. when will the selection Committee this year, I learned from them that the exam is only one entry, namely to do the second time I'll have with the new exam, or is it??
227;ENTER;I finished the 11th class in April I will be 18 years old and I go under the call, I don't mind to join the army but tell me after the army I will apply the results of the exam 2014?)
228;ENTER;Hello. passed the exam in 2011 and in December of that year joined the army. whether valid my results of the exam in 2015 due to the fact that at the time of adoption of the new education act they were in power?
229;ENTER;What do you mean until the last entrant? On receiving documents? Isn't there a time limit on 4 August till 14: 00?
230;PRIV;People who go without entrance examinations who is this?
231;RANG;Hello! A large number recommended for admission suggests that the second wave of enrollment will not be? Do I understand correctly?
232;RANG;Hello. Please tell me if applicants from a list of recommended do not submit the original until August 4, to participate in the second wave (if it will) or they are eliminated from the competition? And whether that enlisted 5th applicants(students) take the documents and you receive the vacant seat? Thank you.
233;ORG;Hello, prompt, please. If in the first wave I feed the original documents in one institution, and in the second wave pass in a better University for me if I can pick up the original documents from the University and apply to another?
234;RANG;Hello, please tell me - when you see the lists of accepted applicants?
235;RANG;Prompt please, whether correctly I understand that the order that people have finally enrolled will be published only on 05 August 2013 and what has already posted the lists of recommended for admission is not the fact that he is there 100% credited?
236;RANG;The orders of enrollment of different categories of applicants to the budget places are issued on 30 July, 5 and 10 Aug. - please decipher what it means to different categories of applicants?
237;ENTER;Tell me, please, the faculty of foreign languages, if you pass in the first wave, you can apply after 5 August?
238;RANG;When you can learn, whether you're in the first wave or not?
239;RANG;Hello, I not filed original document of any one of the Universities, because I thought that my chances of getting on the budget is zero, but now I saw the 9 vacancies on the management, can I still submit the original and to participate in the contest?
240;RANG;when they are well-known in the technical field?
241;RANG;Hello.Enrollment will take place on the final score or the percentage of correctly completed tasks?(CSE)
242;RANG;Hello. I wanted to know....if at the end of 3 exams less typed a lowest passing score of last year, will I participate in the competition? (just the interest, the results of yet)
243;RANG;Hello. Got 199 points exam (R M f) where to apply?
244;RANG;again, Dmitry, could you specify when exactly will be known threshold score, for example, PRIT? after I submitted all applications for admission to the UNIVERSITY or what?
245;HOST;Hello, please tell me what last year was the minimum score for a place in the Dorm?
246;HOST;Hello. Please tell me,I in the amount of 189 points. if I have the chance to go to the hostel?
247;RANG;Hello. What was the passing score in 2009 for the specialty Comprehensive protection of information objects?
248;HOST;I would like to know why not given a seat in the hostel at the faculty of prit? Or information about the availability of seats in the hostel the error crept in? I 220баллов and diploma winner of second degree in mathematics Olympiad second level,but without the dormitory to study will not be able, for financial reasons.
249;RANG;Available on the website passing scores for 2009, they have minimum, medium or maximum? Thank you.
250;RANG;Hello! passed physics Mat and eng.only 204 points can I droop to You?
251;DOC;Hello,and original documents in case of successful admission remain in high school, or You only need their serial number?
252;HOST;<img alt=:) border=0 class=bx-smile data-code=:) data-definition=SD src=/bitrix/images/main/smiles/5/icon_smile.gif style=width:16px height:16px title=smile> Hello,can you clarify whether there are any places in hostel for admission to the faculty of design?</img>
253;RANG;Hello.I mentioned earlier that when applying for contract,enough positive results.But if on the evening of f-t was filed by 36 people on contract and 10.How will be the selection?
254;DOC;Hello! I applied by mail. Please tell me how do I know if You received my documents?
255;RANG;So a score of 196 was at the 50th?
256;RANG;And you don't know how much was from the 35th? 
257;RANG;Good day! Passing scores for 2009 are shown in the first wave, and what were the outcome. Particularly interested in MP and TC specialty Informatics and computer engineering. And what are the forecasts for this year. To really study this specialty with 189 points? Thank you!
258;HOST;And to the Dorm with 189 points what is the probability?
259;RANG;Please tell me which exam in NITC is a priority? After all, look at the points on the subject at the same points.
260;RANG;Hello,please tell me,if the situation arises that at the time the original August 1st, I'll pass on the POS,and after delivery of the originals suddenly it turns out that passing score has increased and you've got to go,will I be enrolled in another faculty(which I have enough points),or it will be uncollected?(I have 198 points)
261;HOST;1. what are the chances with 182 points for the technical faculties, the campus? 
262;ORG;how much would it cost to rent an apartment in Zelenograd, at least?
263;HOST;And for students taking the documents related to the hostel? And if so, what price per day?
264;RANG;And what is the minimum score expected for approximately Nick?
265;RANG;When will be exhibited the list of students enrolled in the first wave? 
266;ORG;Trivial question...What to do incoming?The words of the unforgettable Prince Florizel:Show your instructions... 
267;RANG;And when lists are taken on a paid form of education?
268;RANG;Hello...please tell me where I can find out a passing grade in 2010 on the faculties of the POS and Nick?
269;RANG;and if I gain 150 points,you can go to Lineup on a paid basis?
270;PRIV;Tell me please, when making passing scores, scores of beneficiaries are not taken into account??
271;DOC;What is the package of documents for non-resident applicants? Whom is certified with a certificate? Whether you need a personal presence or can be sent by mail or the Internet? Thanks in advance for the answer!
272;DOC;May I ask when applying for a Design before it was necessary to bring the certificate of unified state examination in Russian and mathematics , now I see what's the exam in Russian literature . How to understand this ? You changed the rules of admission to design ?
273;ORG;Hello! Please clarify the following situation: when applying for specialties creative direction, provides creative face-to-face exam, which in MIET, for example, lasts for 3 days (faculty of Design). The student, selecting for entering the profession of designer will be to apply to other Universities in this specialty. And each of them will be creative competition/exam, on which also need around 2-3 days. Question: what provided by the rules of reception of the coincidence of days of the examinations of creative orientation in different Universities? 
274;DOC;Clarification about non-resident students:to assure copies of documents needed or not?So I get sent a registered letter? Do you have the website sample questionnaire for applicants? (you can get the link?) Thanks for the reply!
275;RANG;Please tell me when will be known the date of the creative competition for admission to the faculty of design?
276;ENTER;Hello. Behind me 9th grade and technical education,for admission Nick do I have to pass the exam?
277;PRIV;Hello! I am the winner of the competition step into the future of the second level in physics and winner of the second degree in math. Please tell me, will it track the results when you receive?
278;ENTER;Hello. Want to sign up for the exam in physics and society. Schedule these exams are held in one day (July 15). How to take it? Is it possible to take physics for example in June, when you need to book to get?
279;ORG;Good afternoon. can I do 200 points on the exam(Russian, physics, algebra)? is there a dormitory at the University, and what payment(if any). P. S. How effective are career advancement after training?
280;ENTER;I was taking the exam last year. is it possible this year to retake the exam and to use when entering last year's results?
281;PRIV;Hello! Dear Irina Kazandzhyan! Thanks to the results of the Olympics step into the future I'm doing just for Nick. This means that these diplomas will not be considered for admission to the faculty of ATMO?
282;ENTER;Hello! tell me, please, if I will not gain the required scores in physics in school, you can retake it at Your University?
283;RANG;Excuse me, but what about the second wave? within the University, it will be impossible to pass?
284;DOC;Good afternoon. Tell me, please, whether correctly I understand that until the fifth of July at the faculty of Design need to submit original documents for admission? Or for the passage of creative competition enough copies?
285;ENTER;Where you can learn raspisanie exams at the faculty of Inwap ?
286;ENTER;Hello, please answer, can ATMA, POS Mpicc take into account the results of the exam on computer(instead of physics)?
287;RANG;Scored 219 points,specifically for prit,does it make sense to apply for another two majors,thereby creating an artificial line,with these points you can not twitch?
288;ENTER;Hello,I finished secondary education in 2006(the exam is not passed),I want to enter the FAK. Design by contract,I will have the opportunity to take the exam at the University? or on this account, there are other rules?
289;ENTER;Hello! Please tell me, how many begin at the time the consultation and examination of a creative test at the faculty of Design? The schedule determines the days, but time is not specified. Perhaps something I do not doglyadel. Thanks in advance.
290;ORG;Tell me which faculty I should choose to learn to be a programmer? Which exams required to take admission?
291;DOC;Hello.Here already the question was asked: do I need notarized copies of documents?
292;ENTER;In what form are entrance tests conducted by the admissions Board? As in 2009? I mean in terms of the form of the(test or full exam)?
293;ENTER;Hello! I want to enter the faculty of foreign languages, passed the Russian,English and history. Can I do this???
294;DOC;Hello!I have a question: I applied to 3 universities(one of them MIET) and I still have 2 Unfiled statements. Can I send documents in 3 directions at MIET,considering it as another statement of the University??
295;RANG;Hello! Next year I would like to enter the faculty of design. Please tell me how is the score distribution of the creative exam and how can I find out about their chances to enroll in Your University? Your website says that the maximum score for admission to the faculty of design 500. What is this figure? Thanks in advance.
296;RANG;Hello! Please tell me if you now to report or just to assume what will be a passing score on this 2011!? To the faculties of the POS and Nick.
297;PRIV;Good day! Tell me please, if I have a diploma of secondary technical educational institutions it gives any benefits?
298;RANG;<img alt=:) border=0 class=bx-smile data-code=:) data-definition=SD src=/bitrix/images/main/smiles/5/icon_smile.gif style=width:16px height:16px title=smile> good evening, can you think of a passing grade last year at ure.faculty?</img>
299;RANG;what is the minimum passing score on Ineup for the paid training?
300;HOST;what about the hostel? in the past year, how many points are needed to get a place?
301;RANG;Hello! Please tell me what is the passing score for the evening classes?budget and contract
302;ORG;If I have a 191 score on the exam (Math, Eng. lang, computer science) and 198(Maths, Eng. lang, social Studies), in which universities of Moscow and St. Petersburg can I get in this year?
303;HOST;Hello! Please tell me, for admission to the faculty of Lineup on a budgetary basis is given to students a hostel?
304;RANG;The minimum passing score on Ineup? thanks in advance
305;DOC;Zdravstujte, is there a possibility of electronic filing of documents? if there is something you can tell where and how?
306;RANG;Hello! Tell me, my points(Russian language - 71, math - 66, physics - 53) can allow me to do on a budget, to the Department of telecommunications or Broadcasting?
307;HOST;Tell me please, who comes to Slang, for them the hostel is not available?
308;RANG;Good day! Dmitri tell me, please, with the total score of 173 mathematics, Russian and physics, what are our prospects? If possible go for one of the departments (eg. ATMO), then will it be possible in future to transfer to another (eg. POS or EITC)? Thank you for your prompt response.
309;RANG;Sorry, but I found the website with a list of people who submitted documents in foreign languages, why not given their scores? I would like to be able to compare their scores with the applicants. I got 90 points (English) 81 (Russian language), 73 (literature).What are my chances to get on a budgetary place?
310;ENTER;Good day!!!in 2009 he passed the exam, then served in the army,my results are still valid for entry???and if in 2009 the minimum score for mathematics was 21 and 24, I counted my 23 points 2009 or the need to re-take the exam and receive a passing score 2011???
311;RANG;196 on Nick have a chance? is it possible to see who has already filed and with what scores?
312;DOC;Hello, is it possible to print the application and fill it on the computer and by hand? or at least count number of military evidence?
313;HOST;Please tell me the RMF 191 points really go to POS with the hostel?
314;DOC;Thus, the statement and a photocopy of the passport and passport sent (certificate of passing the exam at the time of shipment of documents not yet exist), he saw himself in the lists of students who applied. What are my next steps? Do I have until July 25 to appear in person with original documents? Or should expect any results of entrance competition? Thank you.
315;RANG;the total score of 234. what are the chances to pass the budget in.yaz?
316;RANG;roughly what will pass in this year in.yaze?
317;DOC;what is the address to release the documents by e-mail?
318;RANG;Good day! Question to Dmitry Kovalenko. With a score of 218 is there any sense to submit the original documents on Nick before the publication of lists of applicants recommended for admission, i.e. before 27 July? What are the chances (including the Dorm)? The fact that you have to go from afar, but there is a surprise in 4-5 days. Thank you.
319;ENTER;Hello. What is entrance test? Does this mean that in addition to the exam, the school will need to pass some test in the Miata. I want to apply next year to the faculty Nitk.
320;RANG;can you say the pass rate for foreign citizens in the universities?
321;ENTER;Design need to take drawing and painting, but is there on the website of examples of work and rules for the conduct of these examinations?
322;RANG;Hello, can you tell me what is the passing score on faculty Nitk?
323;RANG;Hello.And what is a passing grade on the exam in literature and Russian language this year the faculty of design?
324;ENTER;Can you please tell me what exams are required for admission to the in yaz?And is there a possibility of learning the German language as a major?
325;RANG;Please tell me the situation of this year,when physics and mathematics were delivered at country points,much lower than last year, is it possible to reduce the passing score??Is it worth the risk to me with my 180 points to try on the POS or ATMO.
326;ENTER;Good evening, I have a question I am a citizen of Russia, but studied in the CIS, respectively, the documents on education I the country, whether they are valid, do I have to take another exam, and in General is it possible for me to do?
327;ENTER;Good day!such a situation!in school when you took the exams, first select society, but then wanted to fix for that, but to no avail!Is it possible to record on the delivery of Informatics at the University?
328;ENTER;Ie me what I have that I could sign up for the exams?What is the Decision of the SEC exam?Where do I ask this?
329;RANG;Hello! If I am not mistaken, the admission is said on the official website of MIET will be located daily updated list of entrants who applied. Prompt, please, where can I see this list?
330;ENTER;This situation did last year,points enough,but decided to stay in the city,I realized that the specialty is that you get-not mine.Want to take the documents and go to you the first course.What I can be difficult?Perhaps the question sounds incorrect,but I hope for understanding.Most are afraid because of the military,many say that after the students take the documents,the University immediately claimed by the military.
331;ENTER;The application deadline is July 25. Then when are the entrance exams conducted by MIET University???
332;DOC;Good day! Dmitry, please tell me, what does the number after the letters in the column of Registration number?
333;DOC;Hello,July 8 will take the exam in computer Science in the second wave on the basis of local universities(live in Moscow and not in mo),do I have to wait for the results?or I can check the certificate number online,being already in Moscow and report directly to admissions and MEET?I want to file the originals on Nick and Prov,eng+Mat+NAT=208 points,I want to take computer Science to try to go to the Prov,as said above.But I'm afraid that the results will go a long time,and I lose a lot of time.
334;DOC;Hello. Not long ago filed in your UNIVERSITY originali documents required for admission, with the exception of the insurance certificate. I was told to send a photocopy by e-mail here to this address dap@miee.ru . Yesterday I did, as I can see got letter or not?
335;RANG;Good day! Tell me, please, whether on your website display information on the rating of applicants,i.e. match points and places in the list of entrants? If so, when it can be seen that to estimate the prospect for admission. Thank you for your prompt response
336;RANG;Hello. When will we know did I do? That is, the 4th is the deadline of the original, and the results of the reception when?
337;ORG;after the filing of the original can I go home? do I have to wait for July 5? when will we know about results of the space in the Dorm? could it be that I go home and my place will go to someone else? and when roughly it will be necessary to arrive after July 5, and that it may not make sense to go home. Thanks in advance, sorry for bunch of questions
338;ORG;Hello! I have two questions: when applying-2 will need to directly specify the specialty or the issue is solved later? Second: where can I see the list of subjects taught in different professions faculties Nick, POS, ATMO? Thank you.
339;RANG;Hello, can you tell what was the minimum total ball those applicants who in the past year were held in Nitk in the first wave?
340;ENTER;Will there be entrance exams in 2012?
341;ENTER;whether in 2012, enrollment for exams? and if it is then can I write the exam early
342;ORG;Good day! On the correspondence form of training after College how to learn?
343;ENTER;Hello,which subjects should provide the results of the exam for admission to the faculty (ATMO) ?
344;ENTER;Thank you,and if you go to (Nick) then what subjects are needed ?
345;ENTER;Hello!! The entrance exam for social studies will be conducted in written or oral form?
346;ORG;I applied and since I am a citizen of Moldova, will pass the entrance for 3 items. Where will be consulted?
347;ORG;How to know where the consultation take place? For example, tomorrow in math.
348;ENTER;Good afternoon. Could you suggest how to pass the exam on the Russian language on July 23(not the exam)? Will there be a question-answer or will work? And if the latter, then are there any restrictions on topics?
349;RANG;So far I have the total score 114 (44+70) without Russian. I wonder prit on the contract will take?
350;RANG;Will be posted results of entrance examinations on the website? And how do you know did I or not? Whether posted on the website the lists of enrolled? While there are only lists of applicants on the budget. I immediately filed the originals, and are unable to see yourself in these lists, ' cause I have a contract.
351;ENTER;Hello. In order to enter the faculty of design( graphic design) what exams you need to pass?
352;ORG;And when the school starts to work? 
353;ENTER;Please tell me when is the entrance examination to graduate school? can't find information on the website. Thank you
354;ENTER;what exams you need to pass to enter the prit?
355;ENTER;Prompt, please, what exams you need to pass for admission to Ineup(Department of marketing and Mgr. projects?
356;RANG;When will the list of recommended?
357;HOST;I applied for EITC but pass on ATMO. What are my chances to come back with the hostel ? (162 points)
358;RANG;Tell me, is there any sense to submit the original documents if I am certainly not going to be in lists of recommended? 35 place,235 points to Inyaz. Or should I wait for the second wave?
359;RANG;Hello! I Podil originals to the faculty of the MP, in the list I 413, in the list of scripts until 116. If I'm Recommended for admission? Or transfer documents until it is too late? Thank you in advance.
360;RANG;Orders will be updated?
361;RANG;Good day! Tell me if I have the chance to go on a contractual basis to Ineup, the list of applicants whose enrolment is considered by the admission Commission MIET (27.07.2012)rating I'm on 386-th line?
362;RANG;Hello, I would like to know why so many recommended for admission ( 1049 people), and take only 178? And if I have the chance to do if I'm on the 665-th line in the list recommended?
363;RANG;tell me, what does the list highlighted in green? If you're in it? But if very close
364;RANG;Dmitry,my son 810, Atma,180 points..........How many chances do You give?? The hostel is not needed.
365;RANG;Hello, will update the list of recommended from 30.07.2012?
366;ORG;Hello, Dmitry. In one reply You wrote that this year on 3 of the faculty(Nick,ATMO,ECT) are highlighted in 310 places in the Dorm for freshmen.1) Tell me in what proportion will share these places for 3 faculties? 2) did I understand correctly that if 310 people will be divided about equally by 100 people and a budget of only 150 ( for example, ATMO), there's only 50 places for students who do not require hostel? And it will be 50 people not in need of a dormitory and with higher scores on the exam , from the list recommended for admission, which brought up to 4 August, the originals of their documents. 
367;ENTER;Hello,please tell me what is the entrance test in Russian language?
368;RANG;Good afternoon.I would like to know if the double points in a profile subject?and how will be considered your grade point average this year?
369;RANG;you have written a passing grade ( applied computer science) 216, that is, if I have 212 - no chance?
370;RANG;another question: we in Kazan for admission there are no admission tests, I wonder how you pass the entrance test ( I understand it is necessary to come and write tests for all 3 disciplines?)
371;ENTER;in the questionnaire it is necessary to specify the entrance test, it is necessary to specify all 3:mathematics, ICT and Russian or only math for example? ( for a computer science or inform. security)
372;RANG;Hello. What minimum scores on the exam?
373;ENTER;Hello,it turns out that for admission to the MIET the exam is not counted and are recorded entrance test conducted by MIET University?or what?
374;RANG;Good afternoon. Please assess my chances 63 Mathematics Russian language Physics 69 67. What departments can I do ? Need a hostel.
375;ORG;Hello! The son goes this year, 217 points in telecommunications, the benefit is out of the competition. The zone of alienation, loss of the breadwinner, mother is the invalid of 2 groups. What benefits to expect? Be sure whether will be given a Dorm? What the competition for the military Department, is credited whether her bachelors? Is there a specialist in telecommunications? Thank you.
376;ORG;Hello!Whether this year's recruitment to the faculty, ATMO? Under Direction of training.
377;RANG;Please assess my chances: Russian 84, math 60, 78 literature, English 67, English 73. Interested in the faculty of foreign languages. Is there a chance to do on a budget? Thank you for your answer.
378;DOC;Good day! Tell me, please, when submitting documents necessary to specify the numbers of the certificates? Or is it enough to specify the number of points? In our school it is very late certificates will be given
379;RANG;Hello, I have 203 points,is there a chance to do on a budget? Direction: Management?
380;RANG;Good afternoon, Dmitry! Here's a question: do all tseleviki, as well as the VC and BVI will be credited from the list or among them also the competition? I would like to know how much is the budget for the rest.
381;DOC;Hello! Tell, I read here that you must provide original documents to August 4, but this is done in case the inclusion of I in the order of enrollment?! But if I am in reserve list? Why, then, my original need in high school? It's then a terrible confusion happens. Do not understand anything. Razyasnit if possible
382;ORG;Thank You for your detailed response. But still do not quite understand. If in front of me 25 people with higher scores, and I like the amount of points 50, in this case, my original submitted to the institution, that give? I'm just reading the information on other Universities realized the following - read a letter of acceptance I got, it run immediately to donate the originals? I don't understand the situation? Excuse me, but difficult for me to understand it all.
383;DOC;Prompt, decided to print Заявление2, and it seemed to be duplicated (i.e. on A4 it turns out 2 of the application). Fill both? Or should it be one? They are identical.
384;ENTER;Hello Dimitri.Could you suggest what exams have to pass for admission in MIET on the faculty of Ineup on a budget?
385;ENTER;Hello. I finished HTCAM in 2011.for Programming in computer networks want to continue their education with a degree in Your Institute. Is it possible to get to year 3 ?
386;PRIV;Are there any privileges if I submitted the originals and not copies by July 25???
387;RANG;Hello. Where you can see the list of students who applied, know what I?
388;DOC;Hello, please tell me, is it possible to return the original to the UNIVERSITY after August 4, if the flow was in the first wave?
389;RANG;Thanks, but anyway the issue is still there. Do not get so that I will throw in the original Nick and lose their turn on ATMO or fall in line?
390;ORG;I mean, in the first wave if I only submitted 2 of the University, that's all? More give?
391;RANG;I'll include the original in MIREA for example, can then pick up, if the results of the second wave somewhere in the University will be better enough?
392;RANG;Did I understand correctly that you do not have to be traditional in all high schools lists of recommended for admission? 
393;RANG;what are passing scores do you expect this year at the faculty Nitk and POS can I from 197 to enter the MP?
394;RANG;Dmitry can you please tell me what is a passing grade this year on Ineup on a budget and pay?
395;RANG;How often updated list of entrants?
396;HOST;1) What is the probability with 226 points to the Dorm?
397;RANG;At the moment the entrance Mpicc already 209. There is great probability that in 2 days the score will increase by 10 units?
398;RANG;Hello. I 197баллов I gave up on MP in the list of the originals no chance. Can I hope for a second wave? If I don't bring the originals to August 4,not out of the competition?
399;RANG;I have 215 points, will be able to get to Lineup in the 1st wave?
400;RANG;Hello, what are the chances to go on MP ? Like in the recommended list is, and the list of originals the situation is depressing, the reception of originals as well as 2 days 
401;DOC;Hello. I live quite far from Zelenograd, do I have to come to shift documents to another Department or it can be done?
402;ORG;Hello, please tell me why the selection Committee in the Miata runs on 4 August just before 14.00, but not before 17.00, as in other Moscow Universities. Isn't at the same time admissions to all Universities should be closed?
403;ORG;Hello, Dmitry! Tell me, please, how will the selection Committee after August 4? The originals you have, but confidence in applying less (need dorms). Called today to another UNIVERSITY, there is a high probability of admission in the second wave. Now, how quickly you can pick up the documents if I am in the order of enrollment from August 5?
404;RANG;Hello. I have 184 points, but judging by the dynamics, I will likely soon fall out of the list submitted the originals to ATMO. Do I need to hope for entering ATMO on a budget? And what is this influx of applicants this year, there were such cases in the past?
405;ORG;Hello. I want to know how can go to College people graduating school in Kazakhstan? What documents to do it? The result of the exam or their final exam?
406;ORG;Hello. please tell me, I gr. Russia, but live and school in the Pridnestrovian Moldavian Republic. upon admission to the MIET the results of the exam of this Republic will be considered ,or will have to take again?. thank you in advance.
407;ENTER;Hello. I want to know how can go to College people, graduates of schools in the Transnistrian Moldovan Republic? What documents to do it? The result of the exam or their final exam?
408;ENTER;good evening! have to you such question. I study in PMR finish school here grade 11.then Rent a exams.I have a foreign passport but an inner no.if I pass the exams in the form of the exam I will have to take them from you again?the fact that we have a Russian school, but the certificates do not give the Russian.
409;ENTER;<img alt=:) border=0 class=bx-smile data-code=:) data-definition=SD src=/bitrix/images/main/smiles/5/icon_smile.gif style=width:16px height:16px title=smile> is There any entrance test in the Miata? (Sit in school physics and computer science) I am not a Muscovite. And when will the open day in March-April? Thank you.</img>
410;ORG;Good time of day. At 22 is seriously thinking to enroll in MIET faculty Nitk in 2012. Was at the open day, all very pleasant, charged with positive energy. At school I do not remember almost nothing but very easily trained. Is there an option for 2-3 months to prepare for admission?(maths + physics) 
411;ORG;Now I'm in the 10th grade. After 2 years I need to go to University.Want to go abroad:America,England...I Just don't know where to go, or rather University! Tell me, please! I'm good at English..Well and plan to enroll in the international...And what you need to pass the exams...what English.then of course...what else? Please tell me!KST can just at least the sites of foreign universities...thanks in advance)))
412;RANG;Hello. Prompt, please, on what principle does the list recommended for enrollment students?
413;ENTER;Hello! How can I find out how much is left of budget places in each faculty after enrollment exempts and tseleviki?
414;RANG;I'm sorry,but Your answer to question 141 had another question. The applicant says that his name is highlighted in green, i.e. it is recommended for enrollment in the first wave. You said his chance is not 100% and 99%. So all is not recommended for enrollment and brought the originals to the 4th of August will fall in the enrolment of the 5th of August? And what about students who are not enrolled, as the amount of available budget will be less than the number of applicants from among those recommended, which brought the originals?
415;DOC;Hello,can I after admission(August 5) to pick up the original ?
416;RANG;If I'm in the recommended list, but I see that unlikely to pass in the first wave and will pass the certificate to another University, will I be able to participate in the second wave in MIET (I will put copy)?
417;DOC;Hello. I would like to clarify. If I pass the original documents on August 4, after 10:30 if I can, if necessary, to pick them up the same day (Aug 4), until what time and how?
418;HOST;Hello. I have 206 points. Going to send the original passport. Do I in the direction of electronics and nanoelectronics in the first wave and give me a Dorm?
419;RANG;I also enter the same specialty...electronics.... . I have 207 points but judging by the situation... I strongly doubt that will pass...... Am I not right??
420;RANG;Hello. Today, July 31. Where to look for lists of recommended, which look forward to???
421;DOC;Hello! I have a question: is it Possible to send the original passport by courier? What other documents should I send?
422;RANG;Good day! Tell the lists already posted? I somehow can't find them?
423;RANG;Please explain what is meant by the lists of values in the column Recommended (Yes, 1 priority 2 priority)? Information about the submitted originals of the lists?
424;RANG;At the top of the list there is a plate in the cat. note how many of the submitted scripts. When can they be updated?
425;RANG;Please tell me how to find lists of applicants to the UNIVERSITY who have already submitted applications to navigate in your chances?
426;RANG;Hello! I applied a few days, but I'm coming. Why? What does it mean?
427;RANG;Again a failure in the database??? I failed at the end of the list in Prov, and all points gone... 
428;RANG;Passed the originals on 1приоритет - inform.safety, priority 2 - electronics and nanoelectronics, 3 priority - SC.systems.Points - 235.What is the probability of enrollment in the first thread?
429;RANG;Hello , I applied on 29 June , in the lists of enrolled and personal achievement is still a plus.Maybe you have a wrong number and series of passport?(A-6117)
430;RANG;A week ago, filed documents, and in the essay is still a plus.When will the results be?
431;HOST;Hello,going to act for the Department of design,we organize a hostel?
432;ENTER;At the moment I am studying in the 11th grade, Crimea. The situation with the exam not the unambiguous. Could You describe in greater detail the internal exams and MEET? The job interview? I.e. when, how, there may be a link, but didn't notice.
433;ENTER;Good day! I have a simple question that I can not get a definite answer - passed the exam in 2013, can its results to arrive in the summer of 2015?
434;ENTER;The UNIVERSITY has a strong technical focus. Math/Physics on the exam to pass the basic or core level? Russian language?
435;ENTER;Good day! Please tell me whether it is possible to enter the Faculty (College) of electronics and computer science independently on the exam, or to act only in the direction of the enterprise? From the information on the website is not entirely clear on this point.
436;ENTER;Please explain if I passed the exam in 2015, you need to pass the internal test?
437;PRIV;Hello!If you enroll in the target learning in youth work,in which organizations can take direction?
438;ENTER;Hello! In connection with change of subjects for admission to the faculty of foreign languages is it possible to pass the unified state examination on social science in the Miata?
439;PRIV;I passed the GTO(Ready for labor and defense) for bronze.How many points can you get?
440;RANG;Hello! A minimum number of points specified for state employees or for taxpayers, too?
441;ORG;At the direction of management, part-time form of training whether it is possible to learn on a budget?
442;RANG;Good afternoon. I come from another city, want to enter the faculty of Nitk. Passed the exam this year, math-76, Russian-84, physics-69. Does it make sense to submit the original certificate to the admissions office? What are the chances of my points to study this specialty?
443;ENTER;On the budget can proceed only with the Moscow residence permit?
444;ENTER;Good afternoon. students in applied Informatics are provided with a dormitory? and are there any advantages in getting a place in a hostel for children from large families?
445;RANG;Hello! Tell me, for admission in the 1st year is taken into account exam scores in core subjects (mathematics and physics) or a crucial role assign the amount of points?
446;RANG;And what happened to points for ICT in the lists of Applied Informatics?
447;RANG;How many points you need for admission to the budget places? Virusni 2016. 
448;RANG;Good day! Where it is possible to see the figures passing scores for the part-time training?
449;PRIV;Please tell me where you can read the further information about the target?
450;RANG;Hello, please tell me how will be credited to applicants who have applied on the target device? What competition will be among them?
451;RANG;Tell me if received a letter saying that you were included in the list of target set, will there still be some Concours Redi entrants on this list?
452;DOC;what statement is needed from the public authority on the receipt of target location?
453;RANG;good afternoon.do not tell me when will be hanging the lists of new students at the faculty of Design at byutzhet?After all, the creative is already known.. thanks in Advance,Christina.
454;RANG;Hello, could you tell me. Today, 30. Is it possible to find out the order of admission tselevikov? All tseleviki was enrolled?
455;DOC;Hello what documents do I need to target?
456;ORG;Hello! Please tell me can a student, learning from the target location to be transferred to another specialty in the same University will pay the tuition for a while, while he was studying on the target place and what other problems can occur? Thanks in advance.
457;ORG;I am a 1st year student at the OGAU. I finished school with a gold medal, but still err and took direction from local businesses. Can I now, after a year of learning to abandon the target set?
458;ORG;Hello!I understand that if I go on a budget in any school,I will be able to abandon a target set?
459;RANG;Hello! Please tell me some points necessary for admission, while the target set?
460;ORG;Dear Irina!No, the company did not send us, we wrote a statement to the school where we really did not explain, because I don't know. Maybe you know what the company directs the students of the schools of Zelenograd? Earlier Dmitry wrote that the obligation of no. But no information is available, although it was June 1, and in may had to decide how many people will recruit the target set. In General, it seems that this is some kind of taboo.Anything specific to know from anyone is impossible. And the rumor was that forced to work, but then they should say where any contract is concluded. Would you mind clearing up the situation.
461;ORG;Hello! I would like to clarify if I applied for one faculty by the target set, can I on General competition to serve on the same faculty? Thank you)
462;PRIV;And in what numbers the competition for the target area?
463;PRIV;Hello! Can I apply for General competition together with the application on the target set and the same faculty? Or it is necessary to wait for the admission results on the target set, and only after this bring overall? Thank you.
464;ENTER;Hello, where exams for the target area in the Republic or in the Institute?
465;ORG;Hello, if I was given a target location at a UNIVERSITY, and I have already passed the documents to another I will go to enroll, can I opt out of targeted or it will be too late in the 20s of July?
466;ORG;Hello,I can participate in competition on a target, I only have 131 score in this area by the budget threshold 198-6 score, I rent the originals, can I after the posting lists, to pick up the documents(originals) and submit to another University?
467;RANG;As you can see I did or not. And where can I see the list?
